trip_id,origin_station,destination_station,route_id,day_type,hour_block,distance_km,segment_count,transfer_count,is_peak_hour,weather_condition,traffic_level,station_type_origin,station_type_destination,travel_time_min
TRIP_0058,Lago Azul,San Pedro,R1,sunday,15-18,8.3,3,0,1,heavy_rain,medium,intermedia,intermedia,41.8
TRIP_0059,Terminal Sur,Hospital Central,R2,weekday,15-18,5.8,2,0,1,clear,high,terminal,central,31.95
TRIP_0060,Parque Industrial,Lago Azul,R4+R1,weekday,09-12,12.5,4,1,0,clear,high,industrial,intermedia,64.89
TRIP_0061,Lago Azul,Parque Industrial,R1+R4,sunday,09-12,12.5,4,1,0,rain,low,intermedia,industrial,52.3
TRIP_0062,Terminal Sur,Mercado Distrital,R2,sunday,05-07,4.0,1,0,0,clear,low,terminal,barrial,14.34
TRIP_0063,Centro Histórico,Villa Nueva,R1+R3,weekday,05-07,6.3,2,1,0,clear,low,central,barrial,26.15
TRIP_0064,Centro Histórico,Mercado Distrital,R2,weekday,18-21,3.9,2,0,1,rain,high,central,barrial,32.32
TRIP_0065,Hospital Central,Tecnoparque,R5+R4,weekday,07-09,6.4,2,1,1,clear,high,central,industrial,47.2
TRIP_0066,Parque Industrial,Hospital Central,R5,saturday,07-09,3.4,1,0,1,clear,high,industrial,central,27.73
TRIP_0067,Villa Nueva,Terminal Sur,R3,weekday,05-07,5.2,1,0,0,rain,medium,barrial,terminal,24.54
TRIP_0068,San Pedro,Portal Norte,R1,weekday,21-23,11.5,4,0,0,clear,medium,intermedia,terminal,39.7
TRIP_0069,Aeropuerto,Hospital Central,R4+R5,sunday,09-12,9.5,2,1,0,clear,medium,terminal,central,40.09
TRIP_0070,Lago Azul,Parque Industrial,R1+R4,weekday,12-15,12.5,4,1,0,clear,medium,intermedia,industrial,60.28
TRIP_0071,Mercado Distrital,Lago Azul,R2+R1,weekday,09-12,6.7,3,1,0,clear,medium,barrial,intermedia,36.23
TRIP_0072,Lago Azul,Universidad,R1,weekday,12-15,5.2,2,0,0,clear,low,intermedia,intermedia,19.8
TRIP_0073,Tecnoparque,Parque Industrial,R4,weekday,12-15,3.0,1,0,0,clear,medium,industrial,industrial,18.45
TRIP_0074,Terminal Sur,Centro Histórico,R2,saturday,12-15,7.9,3,0,0,clear,medium,terminal,central,36.01
TRIP_0075,Lago Azul,Tecnoparque,R1+R4,weekday,15-18,9.5,3,1,1,clear,high,intermedia,industrial,59.47
TRIP_0076,Parque Industrial,Mercado Distrital,R5+R2,weekday,09-12,5.2,2,1,0,clear,low,industrial,barrial,31.42
TRIP_0077,Portal Norte,Villa Nueva,R1+R3,saturday,18-21,6.7,2,1,1,clear,medium,terminal,barrial,36.99
TRIP_0078,Villa Nueva,Portal Norte,R3+R1,weekday,21-23,6.7,2,1,0,heavy_rain,medium,barrial,terminal,38.34
TRIP_0079,Hospital Central,Terminal Sur,R2,weekday,05-07,5.8,2,0,0,clear,medium,central,terminal,25.24
TRIP_0080,Lago Azul,Terminal Sur,R3,sunday,12-15,8.7,2,0,0,rain,high,intermedia,terminal,36.05
TRIP_0081,Aeropuerto,Hospital Central,R4+R5,weekday,05-07,9.5,2,1,0,rain,medium,terminal,central,48.09
TRIP_0082,Lago Azul,Mercado Distrital,R1+R2,sunday,05-07,6.7,3,1,0,clear,low,intermedia,barrial,29.34
TRIP_0083,Lago Azul,Tecnoparque,R1+R4,weekday,05-07,9.5,3,1,0,clear,high,intermedia,industrial,50.29
TRIP_0084,Terminal Sur,Hospital Central,R2,weekday,09-12,5.8,2,0,0,clear,medium,terminal,central,27.26
TRIP_0085,Universidad,Parque Industrial,R4,sunday,12-15,7.3,2,0,0,rain,low,intermedia,industrial,24.6
TRIP_0086,San Pedro,Villa Nueva,R1+R3,weekday,12-15,11.8,4,1,0,clear,medium,intermedia,barrial,52.86
TRIP_0087,Portal Norte,Lago Azul,R1,weekday,05-07,3.2,1,0,0,rain,medium,terminal,intermedia,19.29
TRIP_0088,Lago Azul,Terminal Sur,R3,weekday,15-18,8.7,2,0,1,clear,high,intermedia,terminal,41.63
TRIP_0089,Mercado Distrital,Portal Norte,R2+R1,saturday,18-21,9.9,4,1,1,clear,high,barrial,terminal,54.6
TRIP_0090,Mercado Distrital,Parque Industrial,R2+R5,saturday,09-12,5.2,2,1,0,clear,medium,barrial,industrial,34.88
TRIP_0091,Lago Azul,Tecnoparque,R1+R4,weekday,15-18,9.5,3,1,1,rain,high,intermedia,industrial,55.84
TRIP_0092,Universidad,Portal Norte,R1,weekday,21-23,8.4,3,0,0,clear,high,intermedia,terminal,37.8
TRIP_0093,Villa Nueva,Portal Norte,R3+R1,weekday,12-15,6.7,2,1,0,rain,high,barrial,terminal,41.8
TRIP_0094,Portal Norte,Centro Histórico,R1,weekday,07-09,6.0,2,0,1,clear,high,terminal,central,35.19
TRIP_0095,San Pedro,Portal Norte,R1,saturday,18-21,11.5,4,0,1,clear,medium,intermedia,terminal,44.92
TRIP_0096,Mercado Distrital,Centro Histórico,R2,weekday,15-18,3.9,2,0,1,clear,medium,barrial,central,22.78
TRIP_0097,Portal Norte,Terminal Sur,R1+R3,weekday,18-21,11.9,3,1,1,clear,high,terminal,terminal,63.76
TRIP_0098,Lago Azul,San Pedro,R1,sunday,07-09,8.3,3,0,1,clear,medium,intermedia,intermedia,30.12
TRIP_0099,San Pedro,Hospital Central,R5,weekday,09-12,2.7,1,0,0,clear,medium,intermedia,central,14.15
TRIP_0100,Portal Norte,Mercado Distrital,R1+R2,sunday,12-15,9.9,4,1,0,clear,low,terminal,barrial,36.45
TRIP_0101,Universidad,Centro Histórico,R1,weekday,15-18,2.4,1,0,1,clear,medium,intermedia,central,16.75
TRIP_0102,Portal Norte,Tecnoparque,R1+R4,weekday,09-12,12.7,4,1,0,rain,low,terminal,industrial,50.44
TRIP_0103,Mercado Distrital,Hospital Central,R2,saturday,12-15,1.8,1,0,0,clear,medium,barrial,central,11.93
TRIP_0104,Universidad,Parque Industrial,R4,weekday,18-21,7.3,2,0,1,clear,high,intermedia,industrial,40.3
TRIP_0105,Aeropuerto,Hospital Central,R4+R5,weekday,21-23,9.5,2,1,0,clear,high,terminal,central,48.28
TRIP_0106,San Pedro,Universidad,R1,weekday,12-15,3.1,1,0,0,clear,medium,intermedia,intermedia,16.55
TRIP_0107,Lago Azul,San Pedro,R1,sunday,07-09,8.3,3,0,1,clear,medium,intermedia,intermedia,30.93
TRIP_0108,Parque Industrial,Mercado Distrital,R5+R2,weekday,05-07,5.2,2,1,0,clear,medium,industrial,barrial,34.46
TRIP_0109,Parque Industrial,Mercado Distrital,R5+R2,weekday,09-12,5.2,2,1,0,clear,medium,industrial,barrial,32.17
TRIP_0110,Lago Azul,Universidad,R1,weekday,12-15,5.2,2,0,0,clear,medium,intermedia,intermedia,23.93
TRIP_0111,Hospital Central,Aeropuerto,R5+R4,sunday,07-09,9.5,2,1,1,clear,medium,central,terminal,40.38
TRIP_0112,Villa Nueva,Hospital Central,R3+R2,weekday,18-21,11.0,3,1,1,clear,high,barrial,central,62.86
TRIP_0113,Tecnoparque,Centro Histórico,R4+R1,weekday,07-09,6.7,2,1,1,rain,low,industrial,central,41.43
TRIP_0114,Portal Norte,Villa Nueva,R1+R3,weekday,07-09,6.7,2,1,1,clear,high,terminal,barrial,39.53
TRIP_0115,Parque Industrial,Lago Azul,R4+R1,sunday,12-15,12.5,4,1,0,clear,medium,industrial,intermedia,50.7
TRIP_0116,Tecnoparque,Universidad,R4,weekday,12-15,4.3,1,0,0,heavy_rain,medium,industrial,intermedia,24.98
TRIP_0117,Lago Azul,Mercado Distrital,R1+R2,saturday,12-15,6.7,3,1,0,clear,medium,intermedia,barrial,36.43
TRIP_0118,Hospital Central,Portal Norte,R2+R1,weekday,05-07,8.1,3,1,0,clear,medium,central,terminal,42.6
TRIP_0119,Portal Norte,Universidad,R1,weekday,18-21,8.4,3,0,1,clear,medium,terminal,intermedia,35.06
TRIP_0120,Villa Nueva,Terminal Sur,R3,weekday,21-23,5.2,1,0,0,clear,low,barrial,terminal,20.97
TRIP_0121,Lago Azul,Aeropuerto,R1+R4,weekday,18-21,18.6,5,1,1,rain,high,intermedia,terminal,91.12
TRIP_0122,Centro Histórico,Universidad,R1,weekday,09-12,2.4,1,0,0,clear,high,central,intermedia,19.61
TRIP_0123,Portal Norte,Tecnoparque,R1+R4,weekday,18-21,12.7,4,1,1,clear,high,terminal,industrial,70.31
TRIP_0124,Parque Industrial,San Pedro,R5,saturday,12-15,6.1,2,0,0,rain,high,industrial,intermedia,31.17
TRIP_0125,Portal Norte,Mercado Distrital,R1+R2,weekday,09-12,9.9,4,1,0,clear,high,terminal,barrial,49.92
TRIP_0126,Villa Nueva,Lago Azul,R3,weekday,21-23,3.5,1,0,0,clear,low,barrial,intermedia,13.75
TRIP_0127,Universidad,Parque Industrial,R4,sunday,09-12,7.3,2,0,0,clear,medium,intermedia,industrial,23.36
TRIP_0128,Lago Azul,Hospital Central,R1+R2,sunday,15-18,4.9,2,1,1,clear,medium,intermedia,central,37.2
TRIP_0129,Portal Norte,Parque Industrial,R1+R4,weekday,15-18,15.7,5,1,1,rain,high,terminal,industrial,86.93
TRIP_0130,Mercado Distrital,San Pedro,R2+R5,weekday,09-12,4.5,2,1,0,clear,high,barrial,intermedia,32.39
TRIP_0131,Centro Histórico,Portal Norte,R1,weekday,07-09,6.0,2,0,1,clear,high,central,terminal,29.54
TRIP_0132,San Pedro,Portal Norte,R1,weekday,05-07,11.5,4,0,0,rain,high,intermedia,terminal,48.88
TRIP_0133,Parque Industrial,Centro Histórico,R5+R2,weekday,12-15,5.5,2,1,0,clear,low,industrial,central,27.89
TRIP_0134,Centro Histórico,Lago Azul,R1,weekday,12-15,2.8,1,0,0,clear,low,central,intermedia,13.34
TRIP_0135,Hospital Central,Universidad,R2+R1,sunday,21-23,4.5,2,1,0,heavy_rain,high,central,intermedia,40.39
TRIP_0136,San Pedro,Hospital Central,R5,weekday,12-15,2.7,1,0,0,clear,high,intermedia,central,19.41
TRIP_0137,San Pedro,Aeropuerto,R5+R4,weekday,07-09,12.2,3,1,1,rain,high,intermedia,terminal,65.46
TRIP_0138,Villa Nueva,Lago Azul,R3,weekday,09-12,3.5,1,0,0,rain,medium,barrial,intermedia,21.59
TRIP_0139,Tecnoparque,Aeropuerto,R4,sunday,07-09,9.1,2,0,1,clear,high,industrial,terminal,39.36
TRIP_0140,Terminal Sur,Lago Azul,R3,weekday,07-09,8.7,2,0,1,clear,high,terminal,intermedia,41.76
TRIP_0141,Parque Industrial,Aeropuerto,R4,weekday,07-09,6.1,1,0,1,heavy_rain,high,industrial,terminal,41.28
TRIP_0142,Centro Histórico,Universidad,R1,weekday,12-15,2.4,1,0,0,clear,medium,central,intermedia,15.64
TRIP_0143,Lago Azul,Universidad,R1,weekday,21-23,5.2,2,0,0,clear,medium,intermedia,intermedia,21.43
TRIP_0144,Lago Azul,Mercado Distrital,R1+R2,weekday,07-09,6.7,3,1,1,rain,high,intermedia,barrial,49.35
TRIP_0145,Portal Norte,Parque Industrial,R1+R4,weekday,07-09,15.7,5,1,1,heavy_rain,high,terminal,industrial,82.39
TRIP_0146,Tecnoparque,San Pedro,R4+R1,weekday,18-21,7.4,2,1,1,clear,low,industrial,intermedia,45.49
TRIP_0147,Portal Norte,Hospital Central,R1+R2,saturday,15-18,8.1,3,1,1,clear,high,terminal,central,48.31
TRIP_0148,Aeropuerto,Universidad,R4,weekday,21-23,13.4,3,0,0,clear,low,terminal,intermedia,41.72
TRIP_0149,Lago Azul,Villa Nueva,R3,weekday,09-12,3.5,1,0,0,rain,medium,intermedia,barrial,18.49
TRIP_0150,Villa Nueva,Lago Azul,R3,weekday,12-15,3.5,1,0,0,clear,high,barrial,intermedia,20.31
TRIP_0151,Centro Histórico,Aeropuerto,R1+R4,sunday,05-07,15.8,4,1,0,clear,medium,central,terminal,58.53
TRIP_0152,Terminal Sur,Hospital Central,R2,weekday,18-21,5.8,2,0,1,clear,high,terminal,central,33.98
TRIP_0153,Aeropuerto,Hospital Central,R4+R5,weekday,18-21,9.5,2,1,1,clear,high,terminal,central,55.98
TRIP_0154,Villa Nueva,Terminal Sur,R3,weekday,07-09,5.2,1,0,1,clear,high,barrial,terminal,28.61
TRIP_0155,Terminal Sur,Villa Nueva,R3,weekday,07-09,5.2,1,0,1,rain,high,terminal,barrial,29.62
TRIP_0156,Portal Norte,Mercado Distrital,R1+R2,weekday,07-09,9.9,4,1,1,clear,medium,terminal,barrial,50.18
TRIP_0157,Centro Histórico,Tecnoparque,R1+R4,saturday,21-23,6.7,2,1,0,clear,low,central,industrial,31.94
TRIP_0158,Portal Norte,Universidad,R1,weekday,15-18,8.4,3,0,1,clear,medium,terminal,intermedia,34.74
TRIP_0159,Parque Industrial,Universidad,R4,sunday,09-12,7.3,2,0,0,clear,low,industrial,intermedia,24.34
TRIP_0160,Hospital Central,Mercado Distrital,R2,weekday,18-21,1.8,1,0,1,rain,high,central,barrial,25.5
TRIP_0161,Portal Norte,Villa Nueva,R1+R3,saturday,12-15,6.7,2,1,0,clear,low,terminal,barrial,30.87
TRIP_0162,Terminal Sur,Villa Nueva,R3,weekday,12-15,5.2,1,0,0,clear,low,terminal,barrial,18.31
TRIP_0163,Universidad,Mercado Distrital,R1+R2,weekday,09-12,6.3,3,1,0,rain,high,intermedia,barrial,41.92
TRIP_0164,Lago Azul,Villa Nueva,R3,weekday,09-12,3.5,1,0,0,heavy_rain,low,intermedia,barrial,20.38
TRIP_0165,Parque Industrial,Portal Norte,R4+R1,sunday,21-23,15.7,5,1,0,clear,low,industrial,terminal,60.18
TRIP_0166,Centro Histórico,Aeropuerto,R1+R4,sunday,15-18,15.8,4,1,1,clear,high,central,terminal,81.26
TRIP_0167,Lago Azul,Parque Industrial,R1+R4,weekday,15-18,12.5,4,1,1,clear,high,intermedia,industrial,75.49
TRIP_0168,Lago Azul,Aeropuerto,R1+R4,saturday,21-23,18.6,5,1,0,clear,medium,intermedia,terminal,70.26
TRIP_0169,Portal Norte,Centro Histórico,R1,weekday,15-18,6.0,2,0,1,rain,high,terminal,central,38.15
TRIP_0170,San Pedro,Terminal Sur,R5+R2,saturday,18-21,8.5,3,1,1,clear,high,intermedia,terminal,49.76
TRIP_0171,Universidad,Lago Azul,R1,weekday,05-07,5.2,2,0,0,clear,low,intermedia,intermedia,19.18
TRIP_0172,Tecnoparque,Hospital Central,R4+R5,weekday,18-21,6.4,2,1,1,clear,medium,industrial,central,38.54
TRIP_0173,Portal Norte,Universidad,R1,weekday,18-21,8.4,3,0,1,clear,medium,terminal,intermedia,36.73
TRIP_0174,Universidad,Aeropuerto,R4,weekday,15-18,13.4,3,0,1,clear,medium,intermedia,terminal,46.22
TRIP_0175,Terminal Sur,Villa Nueva,R3,saturday,07-09,5.2,1,0,1,clear,medium,terminal,barrial,25.25
TRIP_0176,Hospital Central,Portal Norte,R2+R1,sunday,07-09,8.1,3,1,1,clear,medium,central,terminal,42.02
TRIP_0177,San Pedro,Centro Histórico,R1,sunday,18-21,5.5,2,0,1,clear,medium,intermedia,central,24.27
TRIP_0178,Universidad,Mercado Distrital,R1+R2,weekday,12-15,6.3,3,1,0,rain,medium,intermedia,barrial,36.94
TRIP_0179,Terminal Sur,Mercado Distrital,R2,weekday,09-12,4.0,1,0,0,rain,high,terminal,barrial,25.61
TRIP_0180,Lago Azul,Parque Industrial,R1+R4,weekday,12-15,12.5,4,1,0,clear,medium,intermedia,industrial,53.03
TRIP_0181,Portal Norte,Hospital Central,R1+R2,weekday,18-21,8.1,3,1,1,clear,medium,terminal,central,45.93
TRIP_0182,Lago Azul,Portal Norte,R1,weekday,18-21,3.2,1,0,1,clear,medium,intermedia,terminal,22.78
TRIP_0183,Centro Histórico,Parque Industrial,R2+R5,weekday,05-07,5.5,2,1,0,clear,medium,central,industrial,33.77
TRIP_0184,Portal Norte,Terminal Sur,R1+R3,sunday,09-12,11.9,3,1,0,clear,low,terminal,terminal,51.34
TRIP_0185,Universidad,Tecnoparque,R4,weekday,18-21,4.3,1,0,1,rain,medium,intermedia,industrial,27.44
TRIP_0186,Portal Norte,Aeropuerto,R1+R4,weekday,07-09,21.8,6,1,1,rain,high,terminal,terminal,106.67
TRIP_0187,Parque Industrial,Mercado Distrital,R5+R2,weekday,09-12,5.2,2,1,0,heavy_rain,medium,industrial,barrial,40.32
TRIP_0188,Mercado Distrital,Centro Histórico,R2,weekday,12-15,3.9,2,0,0,heavy_rain,medium,barrial,central,27.48
TRIP_0189,Mercado Distrital,Hospital Central,R2,weekday,09-12,1.8,1,0,0,clear,low,barrial,central,12.99
TRIP_0190,Portal Norte,Terminal Sur,R1+R3,weekday,09-12,11.9,3,1,0,clear,high,terminal,terminal,55.28
TRIP_0191,Villa Nueva,Universidad,R3+R1,weekday,09-12,8.7,3,1,0,clear,medium,barrial,intermedia,40.74
TRIP_0192,Aeropuerto,Universidad,R4,weekday,09-12,13.4,3,0,0,clear,low,terminal,intermedia,41.84
TRIP_0193,Tecnoparque,Universidad,R4,weekday,12-15,4.3,1,0,0,rain,low,industrial,intermedia,19.08
TRIP_0194,Aeropuerto,Lago Azul,R4+R1,weekday,18-21,18.6,5,1,1,clear,high,terminal,intermedia,90.56
TRIP_0195,Mercado Distrital,Portal Norte,R2+R1,saturday,12-15,9.9,4,1,0,clear,medium,barrial,terminal,37.86
TRIP_0196,Centro Histórico,Portal Norte,R1,weekday,05-07,6.0,2,0,0,rain,medium,central,terminal,26.55
TRIP_0197,Mercado Distrital,San Pedro,R2+R5,weekday,07-09,4.5,2,1,1,rain,high,barrial,intermedia,42.51
TRIP_0198,Aeropuerto,Centro Histórico,R4+R1,sunday,18-21,15.8,4,1,1,clear,high,terminal,central,82.15
TRIP_0199,San Pedro,Aeropuerto,R5+R4,saturday,12-15,12.2,3,1,0,clear,high,intermedia,terminal,57.35
TRIP_0200,Mercado Distrital,Lago Azul,R2+R1,weekday,09-12,6.7,3,1,0,clear,medium,barrial,intermedia,33.92
TRIP_0201,Portal Norte,Universidad,R1,sunday,05-07,8.4,3,0,0,clear,low,terminal,intermedia,28.48
TRIP_0202,Aeropuerto,Universidad,R4,saturday,09-12,13.4,3,0,0,clear,low,terminal,intermedia,40.99
TRIP_0203,Parque Industrial,Centro Histórico,R5+R2,weekday,09-12,5.5,2,1,0,clear,high,industrial,central,37.65
TRIP_0204,Hospital Central,Centro Histórico,R2,weekday,15-18,2.1,1,0,1,rain,high,central,central,24.67
TRIP_0205,Lago Azul,Mercado Distrital,R1+R2,weekday,12-15,6.7,3,1,0,heavy_rain,high,intermedia,barrial,52.26
TRIP_0206,Centro Histórico,Villa Nueva,R1+R3,sunday,05-07,6.3,2,1,0,rain,medium,central,barrial,33.71
TRIP_0207,Universidad,Portal Norte,R1,weekday,12-15,8.4,3,0,0,rain,medium,intermedia,terminal,32.95
TRIP_0208,Portal Norte,Centro Histórico,R1,weekday,07-09,6.0,2,0,1,clear,high,terminal,central,36.39
TRIP_0209,Mercado Distrital,Terminal Sur,R2,saturday,21-23,4.0,1,0,0,rain,high,barrial,terminal,25.68
TRIP_0210,Aeropuerto,Universidad,R4,sunday,21-23,13.4,3,0,0,clear,low,terminal,intermedia,37.71
TRIP_0211,Mercado Distrital,Parque Industrial,R2+R5,weekday,09-12,5.2,2,1,0,clear,low,barrial,industrial,30.13
TRIP_0212,Parque Industrial,Terminal Sur,R5+R2,weekday,05-07,9.2,3,1,0,clear,low,industrial,terminal,44.13
TRIP_0213,Hospital Central,Mercado Distrital,R2,weekday,18-21,1.8,1,0,1,heavy_rain,medium,central,barrial,23.6
TRIP_0214,Universidad,Lago Azul,R1,weekday,12-15,5.2,2,0,0,rain,medium,intermedia,intermedia,24.79
TRIP_0215,Hospital Central,Portal Norte,R2+R1,saturday,12-15,8.1,3,1,0,rain,high,central,terminal,49.55
TRIP_0216,Tecnoparque,Lago Azul,R4+R1,weekday,18-21,9.5,3,1,1,clear,high,industrial,intermedia,57.42
TRIP_0217,Parque Industrial,Centro Histórico,R5+R2,weekday,15-18,5.5,2,1,1,clear,medium,industrial,central,40.05
TRIP_0218,Lago Azul,Villa Nueva,R3,weekday,07-09,3.5,1,0,1,clear,high,intermedia,barrial,25.22
TRIP_0219,Parque Industrial,Mercado Distrital,R5+R2,weekday,12-15,5.2,2,1,0,clear,low,industrial,barrial,26.39
TRIP_0220,Centro Histórico,Mercado Distrital,R2,weekday,05-07,3.9,2,0,0,heavy_rain,medium,central,barrial,26.62
